times,urls
2010-05-25T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100525_1200.h5
2010-05-25T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100525_1800.h5
2010-05-26T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100526_0000.h5
2010-05-26T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100526_0600.h5
2010-05-26T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100526_1200.h5
2010-05-26T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100526_1800.h5
2010-05-27T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100527_0000.h5
2010-05-27T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100527_0600.h5
2010-05-27T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100527_1200.h5
2010-05-27T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100527_1800.h5
2010-05-28T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100528_0000.h5
2010-05-28T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100528_0600.h5
2010-05-28T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100528_1200.h5
2010-05-28T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100528_1800.h5
2010-05-29T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100529_0000.h5
2010-05-29T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100529_0600.h5
2010-05-29T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100529_1200.h5
2010-05-29T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100529_1800.h5
2010-05-30T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100530_0000.h5
2010-05-30T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100530_0600.h5
2010-05-30T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100530_1200.h5
2010-05-30T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100530_1800.h5
2010-05-31T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100531_0000.h5
2010-05-31T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100531_0600.h5
2010-05-31T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100531_1200.h5
2010-05-31T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/05/AFTmap_20100531_1800.h5
2010-06-01T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100601_0000.h5
2010-06-01T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100601_0600.h5
2010-06-01T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100601_1200.h5
2010-06-01T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100601_1800.h5
2010-06-02T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100602_0000.h5
2010-06-02T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100602_0600.h5
2010-06-02T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100602_1200.h5
2010-06-02T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100602_1800.h5
2010-06-03T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100603_0000.h5
2010-06-03T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100603_0600.h5
2010-06-03T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100603_1200.h5
2010-06-03T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100603_1800.h5
2010-06-04T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100604_0000.h5
2010-06-04T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100604_0600.h5
2010-06-04T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100604_1200.h5
2010-06-04T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100604_1800.h5
2010-06-05T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100605_0000.h5
2010-06-05T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100605_0600.h5
2010-06-05T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100605_1200.h5
2010-06-05T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100605_1800.h5
2010-06-06T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100606_0000.h5
2010-06-06T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100606_0600.h5
2010-06-06T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100606_1200.h5
2010-06-06T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100606_1800.h5
2010-06-07T00:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100607_0000.h5
2010-06-07T06:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100607_0600.h5
2010-06-07T12:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100607_1200.h5
2010-06-07T18:00:00,https://data.boulder.swri.edu/lisa/AFT_Baseline/2010/06/AFTmap_20100607_1800.h5
